episode,global_steps,return,length,elapsed_sec
369,11487,3.783809003523176,18,6011.21
370,11508,4.522515044088629,21,6022.3
371,11531,4.464509574638429,23,6035.19
372,11553,3.6422907661464334,22,6047.39
373,11615,4.085724182813109,62,6069.69
374,11647,3.8190073129487634,32,6084.26
375,11747,-0.8378861245482093,100,6154.34
376,11771,4.9601920965186395,24,6168.51
377,11788,3.4872602868580396,17,6176.38
378,11825,3.4112564291737724,37,6205.99
379,11844,3.648851028324834,19,6216.67
380,11863,4.307133407296095,19,6227.25
381,11963,3.0781441730976025,100,6254.22
382,12032,4.2707583623599845,69,6281.68
383,12064,4.67340025594531,32,6298.42
384,12098,4.586652640556653,34,6327.55
385,12112,3.8945778081371176,14,6335.33
386,12172,3.436393313250389,60,6364.05
387,12195,4.427127526103835,23,6376.76
388,12214,3.4109069630223434,19,6385.23
389,12241,5.104647134443903,27,6399.58
390,12341,0.17427690850587196,100,6506.55
391,12413,4.229306324527087,72,6546.57
392,12437,4.344224033509517,24,6559.77
393,12460,4.113696667670219,23,6570.76
394,12490,3.220980169866677,30,6583.58
395,12521,3.7099298776515814,31,6603.46
396,12538,3.4595600338618975,17,6609.8
397,12638,0.13789875692300693,100,6652.09
398,12738,1.757316290456673,100,6685.22
399,12763,3.182715036233536,25,6695.44
400,12803,3.7780475988936537,40,6709.01
401,12903,3.624760708917021,100,6734.12
402,12924,4.481389618903847,21,6746.35
403,12947,4.423761241777293,23,6759.04
404,13047,0.8750830770389094,100,6786.73
405,13077,2.8031719543838105,30,6808.27
406,13111,4.530955492401798,34,6833.12
407,13129,4.633863276388848,18,6843.5
408,13177,2.5061021302818762,48,6888.65
409,13210,4.615339518731957,33,6907.24
410,13228,3.4730579961411383,18,6914.53
411,13261,4.642240404667773,33,6931.89
412,13288,3.484524262741644,27,6942.67
413,13314,4.880717048541633,26,6959.06
414,13334,3.76158676189807,20,6968.23
415,13347,3.628495603325695,13,6973.86
416,13362,3.8704479450684217,15,6981.17
417,13462,3.3662260379548172,100,7006.36
418,13487,4.952632690179968,25,7020.9
419,13506,3.385084179605299,19,7028.01
420,13523,3.4941042551477395,17,7035.28
421,13541,3.752539832382651,18,7044.36
422,13568,4.263209835479719,27,7057.86
423,13583,3.5779607754096485,15,7064.31
424,13602,4.593800570209204,19,7075.05
425,13627,4.345606060977967,25,7090.33
426,13665,3.7844511864826478,38,7112.51
427,13682,3.472167881164115,17,7120.46
428,13738,3.4638689299273877,56,7170.02
429,13757,3.6832725815465706,19,7177.6
430,13775,4.307139083100075,18,7186.11
431,13800,3.991006972223872,25,7199.22
432,13841,4.284860769557877,41,7218.1
433,13855,3.888951663693404,14,7224.74
434,13885,3.863047102944569,30,7238.97
435,13908,4.152559559413953,23,7251.49
436,13928,3.6168936184062774,20,7260.51
437,13952,4.086522076254883,24,7274.67
438,13964,3.674513281415929,12,7280.25
439,13989,3.1125294246494457,25,7293.54
440,14015,3.9287479034767108,26,7308.8
441,14036,4.2131911805891455,21,7318.93
442,14054,4.635758947719947,18,7329.19
443,14126,4.264015193607232,72,7360.21
444,14147,3.3570169370332277,21,7369.13
445,14161,3.8945027568171637,14,7376.12
446,14179,3.729413626815882,18,7384.09
447,14211,4.6684834146680405,32,7404.81
448,14234,3.548902405796986,23,7415.03
449,14247,3.6373769100458477,13,7421.06
450,14279,3.684718470467761,32,7435.18
451,14305,3.3769387345362927,26,7445.43
452,14325,4.235490092196945,20,7456.02
453,14362,3.2970756806522785,37,7472.12
454,14378,3.542568785232704,16,7479.18
455,14394,3.8425845981853497,16,7488.49
456,14421,4.1884199561044735,27,7503.38
457,14440,3.4447769718536385,19,7512.92
458,14540,-4.888522702268309,100,7653.63
459,14562,3.187925233559427,22,7662.14
460,14583,4.937620509807339,21,7674.68
461,14609,4.196493181034346,26,7688.17
462,14626,3.3876593866244824,17,7695.05
463,14648,4.332481880414651,22,7707.77
464,14748,-7.024268229391302,100,7818.95
465,14765,3.529774532255897,17,7828.51
466,14780,3.60699123095284,15,7835.45
467,14803,3.0211505969861716,23,7845.95
468,14820,3.50637636765232,17,7853.19
469,14848,3.62631814330027,28,7868.28
470,14870,3.315638819606739,22,7876.83
471,14895,3.791045427730002,25,7890.07
472,14995,0.47954141348291657,100,7931.3
473,15018,4.689670217062034,23,7943.75
474,15033,3.608370690718533,15,7950.83
475,15057,3.804843118770349,24,7964.86
476,15082,2.874599908580204,25,7980.34
477,15106,4.123500442415848,24,7993.76
478,15124,3.5186094009669566,18,8002.69
479,15146,4.186558580504186,22,8017.95
480,15168,3.01557296829595,22,8026.15
481,15186,3.5495833982897405,18,8034.34
482,15221,2.493637775463137,35,8052.52
483,15242,3.1066524875002792,21,8059.79
484,15266,4.612258067025747,24,8074.24
485,15366,-1.0913992082093749,100,8127.8
486,15466,-0.5318439201239793,100,8227.71
487,15566,1.4252536720325577,100,8308.54
488,15584,3.994238083128522,18,8318.59
